127.0.0.1 - - [27/Oct/2017:16:50:13 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:22 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:22 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:22 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:28 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:29 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:29 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:29 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:29 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:29 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:31 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:31 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:31 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:31 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:31 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:32 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:33 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:33 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:50:33 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:51:40 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:51:41 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:16 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:17 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:19 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:20 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:21 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:21 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:21 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:21 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:22 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:22 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
